HoleSection,M_Depth,RateofPenetration,WeightonBit,Rotation,Torque,StandpipePressure,FlowIn,FlowOut,PumpStroke,MudWeight,FunnelViscosity,PlasticViscosity,YieldPoint,Gel_Strength10sec,Gel_Strength10min,Solid,LossesSeverity
6.125,2794,1.026,10.2278,161.03,0.0,2163.4,219.2611,60.12,51.66,76.0,46,14,13,3,4,13,No-Loss
8.5,2356,4.84,3.0,198.0,2.853,1643.0,387.0,59.49,84.0,81.0,46,16,14,3,4,17,No-Loss
8.5,3422,5.112,15.700032,171.33,4.7168,2540.4,578.5323000000001,93.1,125.93,81.0,45,16,19,3,5,15,No-Loss
6.125,3510,3.5340000000000003,12.417952,221.42,1.9,2114.1,235.11130000000003,46.89,50.62,77.0,44,13,16,3,4,13,No-Loss
17.5,1135,5.904,26.3098,134.04,3.34,2028.55,906.1031,72.5,159.67,79.0,44,14,16,5,7,15,No-Loss
17.5,552,7.92,16.8566,142.39,3.19,1730.95,888.1902,70.28,165.81,75.0,38,8,12,4,6,10,No-Loss
8.5,2535,3.1799999999999997,6.894616,181.62,0.0,1363.0,449.089,65.07,87.1,77.0,48,15,17,4,5,13,No-Loss
17.5,864,10.169491525423728,24.9,101.0,3.2,2304.0,949.0,56.24,162.0,77.0,40,8,12,5,6,13,No-Loss
6.125,2964,6.382978723404255,5.2,173.0,3.4,2062.0,222.0,63.86,48.0,76.0,45,14,24,4,6,13,No-Loss
12.25,1287,4.724409448818898,8.0,110.0,2.1,1376.0,661.0,66.77,126.0,70.0,44,13,14,3,5,8,No-Loss
12.25,2355,6.122448979591836,8.2,178.0,8.6,2103.0,741.0,49.18,140.0,74.0,44,15,25,4,6,11,No-Loss
17.5,1259,4.195804195804196,26.2,106.0,2.2,2850.0,832.0,74.15,150.0,82.0,44,14,13,6,7,18,No-Loss
17.5,695,14.088000000000001,41.1862,120.36,3.68,1848.75,900.8197000000001,69.49,158.11,79.0,39,11,16,5,8,18,No-Loss
8.5,1761,9.23,1.5,82.0,6.616,2630.0,623.0,65.66,120.0,80.0,43,12,11,3,4,16,No-Loss
17.5,1383,1.05,42.7,152.0,2.62,2298.0,894.0,85.01,153.0,82.0,43,12,12,6,7,18,No-Loss
6.125,2994,8.658000000000001,3.621528,223.08,1.22342,1948.8,250.9615,44.49,47.71,77.0,45,13,14,3,4,13,No-Loss
17.5,266,46.15384615384615,8.9,127.0,2.3,1228.0,769.0,63.56,135.0,68.0,30,5,3,1,2,7,No-Loss
12.25,2613,4.224,9.2426,220.99,3.97,2132.9500000000003,615.5161,55.73,116.53,81.0,41,11,16,4,6,15,No-Loss
17.5,294,37.5,7.3,131.0,2.0,1116.0,779.0,41.96,136.0,68.0,30,5,3,1,2,7,No-Loss
12.25,1418,4.109589041095891,15.1,158.0,3.5,2537.0,671.0,61.19,115.0,118.0,60,42,24,6,8,33,No-Loss
6.125,3285,3.09,9.5898,186.77,2.43,2840.55,229.8279,51.96,50.62,77.0,46,21,25,6,7,16,No-Loss
17.5,500,40.89,49.65832,140.67,3.52,894.65,914.0282000000001,79.09,176.01,75.0,37,8,20,9,10,11,No-Loss
6.125,3204,5.766,8.292872000000001,226.4,3.4496,2301.15,224.5445,79.82,47.87,76.0,51,16,17,4,5,11,No-Loss
8.5,2820,7.074,11.849208,173.92,3.12,2565.05,649.8582,77.21,139.95,79.0,45,16,17,3,4,15,No-Loss
